dataset,model,engine,block_size,repeat,runtime_seconds
breast_cancer,itfrs,dense,,1,0.38984189299981153
breast_cancer,itfrs,dense,,2,0.14661655700001575
breast_cancer,itfrs,dense,,3,0.16942182999991928
breast_cancer,itfrs,blockwise,64,1,0.10666014399998858
breast_cancer,itfrs,blockwise,64,2,0.09738143799995669
breast_cancer,itfrs,blockwise,64,3,0.10363422099999298
breast_cancer,vqrs,dense,,1,0.1614960910001173
breast_cancer,vqrs,dense,,2,0.1478374559999338
breast_cancer,vqrs,dense,,3,0.13797783600011826
breast_cancer,vqrs,blockwise,64,1,0.10175282600016544
breast_cancer,vqrs,blockwise,64,2,0.10023021799997878
breast_cancer,vqrs,blockwise,64,3,0.09788859099990077
breast_cancer,owafrs,dense,,1,0.19376564200001667
breast_cancer,owafrs,dense,,2,0.19522522099987327
breast_cancer,owafrs,dense,,3,0.20239778400014075
breast_cancer,owafrs,blockwise,64,1,0.10476564600003258
breast_cancer,owafrs,blockwise,64,2,0.10298200000011093
breast_cancer,owafrs,blockwise,64,3,0.10097845899986169
wine_class_0_vs_rest,itfrs,dense,,1,0.0064283930000783585
wine_class_0_vs_rest,itfrs,dense,,2,0.006634085999849049
wine_class_0_vs_rest,itfrs,dense,,3,0.005843615999992835
wine_class_0_vs_rest,itfrs,blockwise,64,1,0.005385237999917081
wine_class_0_vs_rest,itfrs,blockwise,64,2,0.005435073999933593
wine_class_0_vs_rest,itfrs,blockwise,64,3,0.004818645000113975
wine_class_0_vs_rest,vqrs,dense,,1,0.0065702439999313356
wine_class_0_vs_rest,vqrs,dense,,2,0.0063727169999765465
wine_class_0_vs_rest,vqrs,dense,,3,0.006550973000003069
wine_class_0_vs_rest,vqrs,blockwise,64,1,0.005165458999954353
wine_class_0_vs_rest,vqrs,blockwise,64,2,0.011248048000197741
wine_class_0_vs_rest,vqrs,blockwise,64,3,0.005432994999864604
wine_class_0_vs_rest,owafrs,dense,,1,0.009171558999923946
wine_class_0_vs_rest,owafrs,dense,,2,0.008117834999893603
wine_class_0_vs_rest,owafrs,dense,,3,0.00899250700012999
wine_class_0_vs_rest,owafrs,blockwise,64,1,0.006816076999939469
wine_class_0_vs_rest,owafrs,blockwise,64,2,0.00857350100000076
wine_class_0_vs_rest,owafrs,blockwise,64,3,0.006854577000012796
digits_3_vs_8,itfrs,dense,,1,0.06685766300006435
digits_3_vs_8,itfrs,dense,,2,0.06871558600005301
digits_3_vs_8,itfrs,dense,,3,0.06970529499994882
digits_3_vs_8,itfrs,blockwise,64,1,0.07301728400011598
digits_3_vs_8,itfrs,blockwise,64,2,0.07328058799998871
digits_3_vs_8,itfrs,blockwise,64,3,0.06979943199985428
digits_3_vs_8,vqrs,dense,,1,0.06457752900018932
digits_3_vs_8,vqrs,dense,,2,0.07414469099990129
digits_3_vs_8,vqrs,dense,,3,0.0690594959999089
digits_3_vs_8,vqrs,blockwise,64,1,0.0854021070001636
digits_3_vs_8,vqrs,blockwise,64,2,0.07448087099987788
digits_3_vs_8,vqrs,blockwise,64,3,0.07951646700007586
digits_3_vs_8,owafrs,dense,,1,0.0782774030001292
digits_3_vs_8,owafrs,dense,,2,0.07577292499991017
digits_3_vs_8,owafrs,dense,,3,0.07251432099997146
digits_3_vs_8,owafrs,blockwise,64,1,0.08016495399988344
digits_3_vs_8,owafrs,blockwise,64,2,0.08816580100005922
digits_3_vs_8,owafrs,blockwise,64,3,0.07716688499999691
